* Measurement data measured by REW V5.19
* Source: D:\Downloads\Floyd Toole Trained Listeners only.csv
* Format: Comma/Tab/Space delimited data
* Dated: Oct 22, 2020 9:47:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from D:\Downloads\Floyd Toole Trained Listeners only.csv Format: Comma/Tab/Space delimited data 406 values loaded, 20 Hz to 19,672 Hz
* Measurement: Floyd Toole Trained List
* Smoothing: None
* Frequency Step: 0.25000003 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
294.300 1.675 0
294.550 1.675 0
294.800 1.675 0
295.050 1.675 0
295.300 1.675 0
295.550 1.675 0
295.800 1.675 0
296.050 1.675 0
296.300 1.675 0
296.550 1.675 0
296.800 1.675 0
297.050 1.675 0
297.300 1.675 0
297.550 1.675 0
297.800 1.675 0
298.050 1.675 0
298.300 1.675 0
298.550 1.675 0
298.800 1.675 0
299.050 1.675 0
299.300 1.675 0
299.550 1.675 0
299.800 1.675 0
300.050 1.675 0
300.300 1.675 0
300.550 1.675 0
300.800 1.675 0
301.050 1.675 0
301.300 1.675 0
301.550 1.675 0
301.800 1.675 0
302.050 1.675 0
302.300 1.675 0
302.550 1.675 0
302.800 1.675 0
303.050 1.675 0
303.300 1.675 0
303.550 1.675 0
303.800 1.675 0
304.050 1.675 0
304.300 1.675 0
304.550 1.675 0
304.800 1.675 0
305.050 1.675 0
305.300 1.675 0
305.550 1.675 0
305.800 1.675 0
306.050 1.675 0
306.300 1.675 0
306.550 1.675 0
306.800 1.675 0
307.050 1.675 0
307.300 1.675 0
307.550 1.675 0
307.800 1.675 0
308.050 1.675 0
308.300 1.675 0
308.550 1.675 0
308.800 1.675 0
309.050 1.675 0
309.300 1.675 0
309.550 1.675 0
309.800 1.675 0
310.050 1.675 0
310.300 1.675 0
310.550 1.675 0
310.800 1.675 0
311.050 1.675 0
311.300 1.675 0
311.550 1.675 0
311.800 1.675 0
312.050 1.675 0
312.300 1.675 0
312.550 1.675 0
312.800 1.675 0
313.050 1.675 0
313.300 1.675 0
313.550 1.675 0
313.800 1.675 0
314.050 1.675 0
314.300 1.675 0
314.550 1.675 0
314.800 1.675 0
315.050 1.675 0
315.300 1.675 0
315.550 1.675 0
315.800 1.675 0
316.050 1.675 0
316.300 1.675 0
316.550 1.675 0
316.800 1.675 0
317.050 1.675 0
317.300 1.675 0
317.550 1.675 0
317.800 1.675 0
318.050 1.675 0
318.300 1.675 0
318.550 1.675 0
318.800 1.675 0
319.050 1.675 0
319.300 1.675 0
319.550 1.675 0
319.800 1.675 0
320.050 1.675 0
320.300 1.675 0
320.550 1.675 0
320.800 1.675 0
321.050 1.675 0
321.300 1.675 0
321.550 1.675 0
321.800 1.675 0
322.050 1.675 0
322.300 1.675 0
322.550 1.675 0
322.800 1.675 0
323.050 1.675 0
323.300 1.675 0
323.550 1.675 0
323.800 1.675 0
324.050 1.675 0
324.300 1.675 0
324.550 1.675 0
324.800 1.675 0
325.050 1.675 0
325.300 1.675 0
325.550 1.675 0
325.800 1.675 0
326.050 1.675 0
326.300 1.675 0
326.550 1.675 0
326.800 1.675 0
327.050 1.675 0
327.300 1.675 0
327.550 1.675 0
327.800 1.675 0
328.050 1.675 0
328.300 1.675 0
328.550 1.675 0
328.800 1.675 0
329.050 1.674 0
